data (raw),lettura (raw),tipo,litri rif,riscaldamento
07/05/2024,97,R,5377,A
14/05/2024,92,L,,A
21/05/2024,89,L,,A
28/05/2024,87,L,,A
04/06/2024,85,L,,A
11/06/2024,84,L,,A
18/06/2024,82,L,,A
