data (raw),lettura (raw),tipo,litri rif,riscaldamento
12/12/2024,98,R,,A
17/12/2024,93,L,,A
24/12/2024,87,L,,A
31/12/2024,82,L,,A
02/01/2025,80,L,,A
07/01/2025,76,L,,A
14/01/2025,69,L,,A
21/01/2025,63,L,,A
28/01/2025,56,L,,A
04/02/2025,50,L,,A
11/02/2025,44,L,,A
18/02/2025,35,L,,A
25/02/2025,27,L,,A
