data (raw),lettura (raw),tipo,litri rif,riscaldamento
01/10/2024,78,L,,A
08/10/2024,74,L,,A
15/10/2024,71,L,,A
22/10/2024,68,L,,A
29/10/2024,65,L,,A
05/11/2024,62,L,,A
12/11/2024,58,L,,A
19/11/2024,52,L,,A
26/11/2024,45,L,,A
03/12/2024,40,L,,A
10/12/2024,32,L,,A
