data (raw),lettura (raw),tipo,litri rif,riscaldamento
01/12/2023,92,R,,A
05/12/2023,86,L,,A
12/12/2023,78,L,,A
19/12/2023,71,L,,A
27/12/2023,65,L,,A
02/01/2024,60,L,,A
09/01/2024,53,L,,A
16/01/2024,44,L,,A
23/01/2024,36,L,,A
30/01/2024,28,L,,A
06/02/2024,21,L,,A
09/02/2024,18,L,,A
