data (raw),lettura (raw),tipo,litri rif,riscaldamento
08/05/2024,97,R,,A
14/05/2024,92,L,,A
22/05/2024,89,L,,A
28/05/2024,87,L,,A
04/06/2024,85,L,,A
11/06/2024,84,L,,A
18/06/2024,82,L,,A
