data (raw),lettura (raw),tipo,litri rif,riscaldamento
18/06/2024,82,L,,S
26/06/2024,80,L,,S
03/07/2024,79,L,,S
09/07/2024,79,L,,S
16/07/2024,77,L,,S
23/07/2024,76,L,,S
31/07/2024,75,L,,S
21/08/2024,75,L,,S
03/09/2024,74,,L,,S
10/09/2024,73,L,,S
17/09/2024,72,L,,S
24/09/2024,71,L,,S
01/10/2024,70,L,,S
